"dist_param","plot_id","tree_id","core_id","missing_mm","missing_years","dbh_mm"
14,127,80692,2959,1.87,2,370
14,127,80696,2960,17.77,39,260
14,127,80697,2961,5.61,2,300
14,127,80700,2964,10.29,10,340
14,127,80701,2965,0,0,360
14,127,80703,2966,7.48,5,310
14,127,80706,2969,2.81,1,240
14,127,80709,2970,0,0,260
14,127,80712,2973,5.61,7,360
14,127,80715,2975,6.54,4,410
14,127,80716,2976,6.54,25,160
14,127,80722,2979,23.38,10,390
14,127,80723,2980,0,0,210
14,127,80725,2982,2.81,2,180
14,127,80727,2983,3.74,3,390
14,127,80729,2984,5.61,5,360
14,127,80730,2985,9.2,3,350
14,127,80731,2986,0,0,390
14,127,80733,2988,4.67,3,290
14,127,80735,2990,3.74,2,360
14,127,80739,2992,0,0,210
14,127,80741,730,0,0,310
14,127,80744,2996,8.41,23,300
14,127,80746,2997,7.48,5,290
14,127,80747,2998,11.22,10,330
14,127,80750,3000,1.87,1,150
14,127,80752,3002,20.57,12,360
14,127,80754,3004,2.81,3,400
14,127,80756,3006,1.87,2,380
14,127,80757,3007,2.81,3,440
14,127,80761,3010,7.48,7,360
14,127,80764,3011,3.74,2,360
14,127,80765,3012,0,0,490
14,127,80766,3013,8.41,6,440
14,127,80767,3014,8.41,10,240
14,127,80770,3017,15.89,6,480
14,127,80771,3018,19.55,14,340
14,127,80773,3020,0,0,480
14,127,80777,3023,0,0,240
14,127,80778,3024,29.9,72,410
14,127,80781,3026,5.61,6,230
14,127,80792,731,0,0,190
14,127,80795,3036,2.81,2,370
14,127,80799,3038,5.61,6,340
14,127,80807,3041,5.61,15,380
14,127,80810,3043,1.22,1,530
14,127,80817,3046,3.74,4,390
14,127,80818,3047,17.77,14,360
14,127,80819,3048,11.22,10,510
14,127,80821,3050,2.81,11,130
14,127,80822,3051,7.95,8,370
14,127,80829,3056,0,0,260
14,127,80833,3059,4.67,4,460
14,127,80835,3061,4.67,3,380
14,127,80837,3063,0.94,1,320
14,127,80839,3064,14.95,5,380
14,127,80840,3065,10.29,9,320
14,127,80841,3066,1.77,2,420
14,127,80842,3067,0,0,250
14,127,80843,3068,10.29,14,260
14,127,80844,3069,0,0,480
14,127,80845,3070,0,0,300
14,127,80846,3071,7.48,5,370
14,127,80854,733,0,0,310
14,127,80860,3077,4.67,2,480
14,127,80861,3078,4.96,16,240
14,127,80865,3080,1.87,4,480
14,127,80868,3082,0.94,1,490
14,127,80870,3084,1.87,3,430
14,127,80873,3087,13.8,5,310
14,127,80874,3088,3.74,8,420
14,127,80875,3089,6.54,8,160
14,127,80876,3090,0,0,340
14,127,80881,3094,4.67,9,260
14,127,80882,3095,0,0,330
14,127,80883,3096,12.15,8,290
14,127,80885,3098,6.54,7,340
14,127,80887,3100,0,0,370
14,127,80888,3101,5.61,3,360
14,127,80892,3103,7.48,8,340
14,127,80895,3105,4.67,3,340
14,127,80930,3114,0.94,2,210
14,127,80932,3115,5.61,5,360
14,127,80934,3116,0,0,330
14,128,80946,3119,1.4,1,490
14,128,80952,3123,0.94,1,340
14,127,80954,3118,0,0,
14,128,80955,3125,0,0,390
14,128,80956,3126,6.54,5,300
14,128,80958,3127,2.81,2,350
14,128,80969,738,0,0,410
14,128,80975,3134,11.22,4,410
14,128,80976,3135,1.4,2,450
14,128,80981,3137,11.22,4,280
14,128,80984,3138,4.67,2,560
14,128,80985,3139,4.67,3,440
14,128,80988,3141,1.87,1,560
14,128,80989,3142,1.87,2,490
14,128,81006,741,0,0,460
14,128,81012,3148,39.9,19,510
14,128,81019,3151,6.54,3,400
14,128,81027,3156,0,0,150
14,128,81029,3158,0,0,440
14,128,81031,3160,6.54,8,360
14,128,81037,3166,12.15,5,360
14,128,81038,3167,19.64,11,440
14,128,81039,3168,9.35,3,470
14,128,81040,743,0,0,590
14,128,81043,3169,5.61,2,280
14,128,81046,3171,9.35,25,380
14,128,81047,3172,21.5,6,440
14,128,81048,3173,1.87,1,430
14,128,81053,3176,2.81,2,160
14,128,81054,3177,9.35,11,260
14,128,81057,3179,3.74,2,390
14,128,81058,744,0,0,320
14,128,81062,3180,13.09,10,420
14,128,81063,3181,0,0,470
14,128,81064,745,0,0,400
14,128,81066,3182,0,0,480
14,128,81068,3183,6.54,4,340
14,128,81073,749,0,0,280
14,128,81074,3186,15.89,12,300
14,128,81075,3187,13.09,14,300
14,128,81076,3188,7.48,25,420
14,128,81077,750,0,0,380
14,128,81080,3190,8.41,17,400
14,128,81090,3195,0,0,290
14,128,81091,3196,0,0,420
14,128,81093,3197,6.54,10,420
14,128,81099,3200,10.29,9,390
14,128,81100,3201,4.67,3,380
14,128,81103,3203,0,0,260
14,128,81104,3204,12.15,10,270
14,128,81105,751,0,0,390
14,128,81118,3207,13.09,13,120
14,128,81128,3211,14.03,12,240
14,128,81129,3212,4.67,2,220
14,128,81130,3213,0,0,100
14,128,81131,3214,0,0,120
14,129,81133,762,1.87,1,710
14,129,81134,713,0,0,750
14,129,81135,763,9.35,5,740
14,129,81137,765,0,0,590
14,129,81154,769,0,0,650
14,129,81155,770,0,0,480
14,129,81156,771,0.94,3,430
14,129,81157,772,0,0,330
14,129,81158,773,0,0,220
14,129,81159,774,0,0,490
14,129,81163,776,0,0,510
14,129,81166,779,4.67,4,650
14,129,81169,780,0,0,330
14,129,81170,781,4.67,2,410
14,129,81192,785,2.81,2,480
14,129,81199,787,13.09,5,560
14,129,81204,790,2.81,3,520
14,129,81206,791,0,0,470
14,129,81207,792,11.22,19,340
14,129,81208,793,0.94,0,390
14,129,81209,794,1.87,1,420
14,129,81210,795,5.61,14,530
14,129,81235,796,7.48,3,490
14,129,81237,798,2.81,2,520
14,129,81244,800,0,0,460
14,129,81248,801,11.22,5,490
14,129,81249,802,2.81,4,590
14,129,81256,3216,3.74,5,390
14,129,81258,806,16.83,5,530
14,130,81283,809,2.81,2,460
14,130,81287,810,4.67,4,420
14,130,81288,811,3.74,3,210
14,130,81291,812,0.94,1,400
14,130,81308,813,2.81,1,580
14,130,81312,815,0,0,330
14,130,81316,817,0.94,2,360
14,130,81323,819,1.87,4,370
14,130,81324,820,0,0,320
14,130,81337,823,0,0,320
14,130,81338,3217,0,0,320
14,130,81359,828,12.15,5,590
14,130,81362,831,0,0,290
14,130,81363,832,0,0,310
14,130,81366,833,3.74,11,230
14,130,81370,834,7.48,11,260
14,130,81371,835,0,0,430
14,130,81372,836,0.94,5,230
14,130,81378,837,5.61,7,480
14,130,81404,839,4.67,3,400
14,130,81407,840,0,0,320
14,130,81413,844,3.74,4,440
14,130,81415,845,0.94,2,400
14,130,81419,788,0,0,260
14,130,81424,847,5.61,3,340
14,130,81428,849,11.22,7,230
14,130,81437,855,0,0,300
14,130,81441,857,0,0,310
14,130,81466,866,2.81,3,
14,1002,81469,869,2.81,2,480
14,1002,81474,873,1.87,1,490
14,1002,81476,875,3.74,1,420
14,1002,81478,877,0,0,300
14,1002,81480,879,0,0,410
14,1002,81482,881,0.94,2,410
14,1002,81483,872,0,0,660
14,1002,81487,884,0,0,600
14,1002,81488,885,0,0,450
14,1002,81491,887,0,0,310
14,1002,81499,891,2.81,3,390
14,1002,81518,894,1.87,1,550
14,1002,81521,895,13.09,6,610
14,1002,81554,3221,0,0,390
14,1002,81555,899,0,0,510
14,1002,81580,903,0,0,470
14,1002,81584,904,5.61,2,470
14,131,81625,909,3.74,2,320
14,131,81630,911,7.48,5,400
14,131,81638,912,0,0,420
14,131,81661,914,3.74,3,390
14,131,81664,915,0,0,370
14,131,81667,917,0,0,470
14,131,81669,946,0,0,500
14,131,81677,920,1.87,4,390
14,131,81678,921,0,0,400
14,131,81680,923,0,0,580
14,131,81692,927,3.74,2,270
14,131,81712,929,0,0,360
14,131,81749,945,0.94,1,460
14,131,81771,3222,0.94,2,490
