"dist_param","ring_id","event","dbh_event","age","dbh_th","dbh_ca_f","core_id","year","year_min","tree_id","missing_mm","missing_years","corestatus","crossdated","plot_id","treeid","species","x_m","y_m","dbh_mm","growth","treetype","status","plotid","country","location","stand","foresttype","sp_group_dist","dist_use"
14,246853,"gap",5,5,230,"(0.0055392* dbh_mm + 2.2037230)^2",3367,1817,1818,939,0,0,0,0,1099,"CZE_SL_002_049","Picea",,,340,99,"0",1,"CZE_SL_002","Czech Republic","Bohemian Forest","Polom","spruce","Picea","yes"
14,260401,"no event",17,4,230,"(0.0055392* dbh_mm + 2.2037230)^2",1487,1829,1830,1085,4.67,3,1,10,996,"CZE_SL_004_052","Picea",,,290,-1,"0",11,"CZE_SL_004","Czech Republic","Bohemian Forest","Polom","spruce","Picea","yes"
14,143497,"release",99,92,230,"(0.0055392* dbh_mm + 2.2037230)^2",786,1817,1726,81194,6.54,6,1,10,129,"CZE_SJ_003_064","Picea",31.201,24.326,550,99,"0",1,"CZE_SJ_003","Czech Republic","Bohemian Forest","Jezerni","spruce","Picea","yes"
14,125128,"gap",8,5,230,"(0.0055392* dbh_mm + 2.2037230)^2",3142,1824,1825,80989,1.87,2,1,0,128,"CZE_SJ_002_046","Picea",5.569,39.32,490,99,"0",1,"CZE_SJ_002","Czech Republic","Bohemian Forest","Jezerni","spruce","Picea","yes"
14,196017,"release",7,8,230,"(0.0055392* dbh_mm + 2.2037230)^2",1065,1816,1809,81982,0,0,0,0,140,"CZE_SJ_008_032","Picea",-13.711,-2.793,277,1,"0",1,"CZE_SJ_008","Czech Republic","Bohemian Forest","Jezerni","spruce","Picea","yes"
14,2727516,"release",157,38,230,"(0.0055392* dbh_mm + 2.2037230)^2",655,1865,1828,59823,0,0,0,1,959,"CZE_SL_010_013","Picea",14.755,4.119,522,-1,"0",14,"CZE_SL_010","Czech Republic","Bohemian Forest","Polom","spruce","Picea","yes"
14,2727483,"gap",16,5,230,"(0.0055392* dbh_mm + 2.2037230)^2",655,1827,1828,59823,0,0,0,1,959,"CZE_SL_010_013","Picea",14.755,4.119,522,-1,"0",14,"CZE_SL_010","Czech Republic","Bohemian Forest","Polom","spruce","Picea","yes"
14,2721486,"gap",19,5,230,"(0.0055392* dbh_mm + 2.2037230)^2",624,1801,1802,59787,0,0,0,3,958,"CZE_SL_009_017","Picea",11.134,35.065,304,-1,"0",11,"CZE_SL_009","Czech Republic","Bohemian Forest","Polom","spruce","Picea","yes"
14,106115,"release",129,46,230,"(0.0055392* dbh_mm + 2.2037230)^2",3029,1907,1862,80785,0,0,0,0,127,"CZE_SJ_001_094","Picea",4.271,38.69,270,-1,"0",11,"CZE_SJ_001","Czech Republic","Bohemian Forest","Jezerni","spruce","Picea","yes"
14,106078,"release",18,9,230,"(0.0055392* dbh_mm + 2.2037230)^2",3029,1870,1862,80785,0,0,0,0,127,"CZE_SJ_001_094","Picea",4.271,38.69,270,-1,"0",11,"CZE_SJ_001","Czech Republic","Bohemian Forest","Jezerni","spruce","Picea","yes"
