"locality","newstand","patch_area_pre","peakyear","Join_Count","patch_area","stand_size"
"Bohemian Forest","SJ_",14.47125291,1820,2,14.47125291,73.10033995
"Bohemian Forest","SJ_",7.001854507,1820,1,4,73.10033995
"Bohemian Forest","SL_",13.45460797,1824,1,4,154.1429948
"Bohemian Forest","SL_",18.14853432,1824,1,4,154.1429948
"Bohemian Forest","SL_",7.850727798,1824,1,4,154.1429948
"Bohemian Forest","SJ_",15.98267318,1833,1,4,73.10033995
"Bohemian Forest","SL_",61.98856217,1841,3,61.98856217,154.1429948
"Bohemian Forest","SJ_",5.888467318,1847,1,4,73.10033995
"Bohemian Forest","SJ_",28.04677882,1847,2,28.04677882,73.10033995
"Bohemian Forest","SL_",18.14853432,1856,1,4,154.1429948
"Bohemian Forest","SL_",19.71230362,1856,2,19.71230362,154.1429948
"Bohemian Forest","SJ_",6.086484401,1862,1,4,73.10033995
"Bohemian Forest","SJ_",7.001854507,1862,1,4,73.10033995
"Bohemian Forest","SL_",19.7786734,1873,1,4,154.1429948
"Bohemian Forest","SL_",15.45677425,1873,1,4,154.1429948
"Bohemian Forest","SJ_",5.888467318,1874,1,4,73.10033995
"Bohemian Forest","SJ_",6.802567008,1874,1,4,73.10033995
"Bohemian Forest","SL_",9.211113853,1896,1,4,154.1429948
"Bohemian Forest","SJ_",4.622438393,1923,1,4,73.10033995
"Bohemian Forest","SJ_",6.086484401,1923,1,4,73.10033995
"Bohemian Forest","SL_",9.211113853,1953,1,4,154.1429948
