"locality","country","newstand","Xjtsk","Yjtsk","plotid","landscape"
"Bohemian Forest","CZE","SJ_",-846106.2389,-1131124.5,"CZE_SJ_001","WildWest"
"Bohemian Forest","CZE","SJ_",-846082.4909,-1131368.876,"CZE_SJ_002","WildWest"
"Bohemian Forest","CZE","SJ_",-845857.3608,-1131875.678,"CZE_SJ_003","WildWest"
"Bohemian Forest","CZE","SJ_",-846060.7512,-1130962.718,"CZE_SJ_004","WildWest"
"Bohemian Forest","CZE","SJ_",-847100.5887,-1130211.15,"CZE_SJ_005","WildWest"
"Bohemian Forest","CZE","SJ_",-847845.8693,-1129795.697,"CZE_SJ_006","WildWest"
"Bohemian Forest","CZE","SJ_",-845851.6762,-1131573.329,"CZE_SJ_007","WildWest"
"Bohemian Forest","CZE","SJ_",-845694.31,-1131403.811,"CZE_SJ_008","WildWest"
"Bohemian Forest","CZE","SJ_",-845442.1758,-1132174.217,"CZE_SJ_009","WildWest"
"Bohemian Forest","CZE","SL_",-838879.0295,-1136877.1,"CZE_SL_001","WildWest"
"Bohemian Forest","CZE","SL_",-838494.5259,-1136817.138,"CZE_SL_002","WildWest"
"Bohemian Forest","CZE","SL_",-838071.5127,-1139069.478,"CZE_SL_003","WildWest"
"Bohemian Forest","CZE","SL_",-837441.1122,-1139818.895,"CZE_SL_004","WildWest"
"Bohemian Forest","CZE","SL_",-836475.2545,-1140038.078,"CZE_SL_005","WildWest"
"Bohemian Forest","CZE","SL_",-835249.4666,-1140140.396,"CZE_SL_006","WildWest"
"Bohemian Forest","CZE","SL_",-838180.3689,-1137230.817,"CZE_SL_007","WildWest"
"Bohemian Forest","CZE","SL_",-838830.8929,-1135731.208,"CZE_SL_008","WildWest"
"Bohemian Forest","CZE","SL_",-836772.4636,-1139598.378,"CZE_SL_009","WildWest"
"Bohemian Forest","CZE","SL_",-837080.4975,-1139521.021,"CZE_SL_010","WildWest"
