"core_id","ring_id","year","incr_mm"
2959,95547,1836,0.9
2959,95548,1837,1.08
2959,95549,1838,0.94
2959,95550,1839,1.1
2959,95551,1840,1.5
2959,95552,1841,1.52
2959,95553,1842,2.78
2959,95554,1843,2.64
2959,95555,1844,1.84
2959,95556,1845,1.12
2959,95557,1846,1.54
2959,95558,1847,0.88
2959,95559,1848,0.55
2959,95560,1849,0.28
2959,95561,1850,0.4
2959,95562,1851,0.46
2959,95563,1852,0.28
2959,95564,1853,0.56
2959,95565,1854,0.6
2959,95566,1855,0.59
2959,95567,1856,0.95
2959,95568,1857,0.86
2959,95569,1858,1.14
2959,95570,1859,1.54
2959,95571,1860,1.44
2959,95572,1861,1.19
2959,95573,1862,1.55
2959,95574,1863,1.45
2959,95575,1864,1.58
2959,95576,1865,1.4
2959,95577,1866,1.37
2959,95578,1867,1.25
2959,95579,1868,1.28
2959,95580,1869,1.3
2959,95581,1870,1.3
2959,95582,1871,1.54
2959,95583,1872,1.67
2959,95584,1873,1.52
2959,95585,1874,1.14
2959,95586,1875,1.18
2959,95587,1876,1.17
2959,95588,1877,1.14
2959,95589,1878,1.24
2959,95590,1879,0.94
2959,95591,1880,0.93
2959,95592,1881,1.48
2959,95593,1882,1.28
2959,95594,1883,0.96
2959,95595,1884,1.96
2959,95596,1885,1.56
2959,95597,1886,0.98
2959,95598,1887,0.76
2959,95599,1888,0.84
2959,95600,1889,0.68
2959,95601,1890,0.56
2959,95602,1891,0.49
2959,95603,1892,0.52
2959,95604,1893,0.36
2959,95605,1894,0.56
2959,95606,1895,0.57
2959,95607,1896,0.53
2959,95608,1897,0.54
2959,95609,1898,0.63
2959,95610,1899,0.8
2959,95611,1900,0.51
2959,95612,1901,0.69
2959,95613,1902,0.58
2959,95614,1903,0.6
2959,95615,1904,0.41
2959,95616,1905,0.23
2959,95617,1906,0.2
2959,95618,1907,0.22
2959,95619,1908,0.24
2959,95620,1909,0.38
2959,95621,1910,0.38
2959,95622,1911,0.4
2959,95623,1912,0.32
2959,95624,1913,0.4
2959,95625,1914,0.4
2959,95626,1915,0.28
